antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'distribution_channel_TA/TO', 'market_segment_Offline TA/TO', 'deposit_type_Non Refund'})",frozenset({'is_canceled'}),0.041887930312421474,0.37041628277075134,0.041862802579780554,0.9994001199760049,2.6980458647778405,0.026346831140493115,1049.5160566212708
"frozenset({'market_segment_Offline TA/TO', 'assigned_room_type_A', 'customer_type_Transient'})",frozenset({'is_canceled'}),0.08024122623335288,0.37041628277075134,0.04613451712873775,0.5749478079331941,1.5521666694361442,0.01641186038241228,1.4811915547780456
"frozenset({'deposit_type_Non Refund', 'market_segment_Offline TA/TO', 'customer_type_Transient'})",frozenset({'is_canceled'}),0.03839517547533294,0.37041628277075134,0.03839517547533294,1.0,2.6996653400868307,0.0241729772994294,inf
"frozenset({'deposit_type_Non Refund', 'market_segment_Offline TA/TO', 'meal_BB'})",frozenset({'is_canceled'}),0.03524583298433705,0.37041628277075134,0.03522070525169612,0.9992870722433459,2.6977406737322056,0.022165074814479255,883.096094033423
"frozenset({'reserved_room_type_A', 'deposit_type_Non Refund', 'market_segment_Offline TA/TO'})",frozenset({'is_canceled'}),0.04166178071865315,0.37041628277075134,0.041636652986012226,0.9993968636911942,2.6980370738985995,0.026204451038598565,1043.8498031660454
"frozenset({'market_segment_Offline TA/TO', 'deposit_type_Non Refund', 'assigned_room_type_A'})",frozenset({'is_canceled'}),0.041552893877209146,0.37041628277075134,0.04152776614456822,0.9993952832090304,2.6980328071256814,0.026135897656204894,1041.1216070579878
"frozenset({'distribution_channel_TA/TO', 'assigned_room_type_A', 'customer_type_Transient'})",frozenset({'is_canceled'}),0.37761119021693607,0.37041628277075134,0.20403718904430856,0.5403367122862277,1.4587282941355988,0.064163855631512,1.369662825066169
"frozenset({'distribution_channel_TA/TO', 'customer_type_Transient', 'deposit_type_Non Refund'})",frozenset({'is_canceled'}),0.10088784655331268,0.37041628277075134,0.10088784655331268,1.0,2.6996653400868307,0.06351734545628863,inf
"frozenset({'distribution_channel_TA/TO', 'assigned_room_type_A', 'meal_BB'})",frozenset({'is_canceled'}),0.3772175224055616,0.37041628277075134,0.19087025714046402,0.5059952038369304,1.366017714048732,0.05114274469500327,1.2744485926436733
"frozenset({'distribution_channel_TA/TO', 'deposit_type_Non Refund', 'meal_BB'})",frozenset({'is_canceled'}),0.09830806600217774,0.37041628277075134,0.09825781053689589,0.9994887961148504,2.6982852606763745,0.06184290216198753,1231.5706815198203
